Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2016-10-27,Frog and Toad Are Friends,1985,https://boxd.it/bQlNV,3,,,2001-11-26
2016-09-12,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/beCzP,5,,,2004-07-03
2016-09-11,Son of the Mask,2005,https://boxd.it/bdFph,,,,2005-11-05
2016-09-11,Epic Movie,2007,https://boxd.it/bdFlp,1.5,,,2007-11-11
2016-09-25,Speed Racer,2008,https://boxd.it/bpi6v,2,,,2008-08-24
2016-09-11,Disaster Movie,2008,https://boxd.it/bdFib,1,,,2008-09-14
2016-09-12,iCarly: iGo to Japan,2008,https://boxd.it/beCtx,2,,,2008-11-10
2016-08-20,Inception,2010,https://boxd.it/aUpgZ,5,,,2010-07-16
2016-08-13,2001: A Space Odyssey,1968,https://boxd.it/aPLh1,5,,stanley kubrick,2010-11-13
2016-08-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/aUIc3,5,,,2011-02-19
2016-09-03,I Am Number Four,2011,https://boxd.it/b6BEX,0.5,,,2011-02-25
2016-08-20,Metropolis,1927,https://boxd.it/aUIKf,5,,,2011-03-27
2016-09-21,It's Such a Beautiful Day,2012,https://boxd.it/blVmz,5,,,2012-02-21
2016-09-11,Pina,2011,https://boxd.it/bdAnZ,3.5,,,2012-03-18
2016-08-23,Rock of Ages,2012,https://boxd.it/aXLXd,3.5,,,2012-06-25
2016-09-03,Cloud Atlas,2012,https://boxd.it/b6Djd,4.5,,"better than you think, wachowski",2012-10-27
2016-08-20,Taxi Driver,1976,https://boxd.it/aUps7,5,,,2013-03-24
2016-08-31,Solaris,1972,https://boxd.it/b4sVB,4,,tarkovsky,2013-08-17
2016-08-20,Frances Ha,2012,https://boxd.it/aUJDz,3.5,,,2013-08-19
2016-08-24,The Ultimate Gift,2006,https://boxd.it/aYbuV,1.5,,,2014-02-25
2016-08-23,Under the Skin,2013,https://boxd.it/aXKtr,3,,,2014-10-24
2016-08-23,Jurassic World,2015,https://boxd.it/aXCcd,3.5,,,2015-06-26
2016-09-03,Fantastic Four,2015,https://boxd.it/b6Ccl,0.5,,,2015-08-22
2016-09-11,Star Wars,1977,https://boxd.it/bdG5H,5,,,2015-10-16
2016-09-06,The Empire Strikes Back,1980,https://boxd.it/b9PpN,4,,,2015-11-06
2016-08-19,A Clockwork Orange,1971,https://boxd.it/aU85l,5,,,2016-07-29
2016-08-15,Dogtooth,2009,https://boxd.it/aRei5,4,Yes,,2016-08-14
2016-08-15,Captain America,1990,https://boxd.it/aRi97,1,,,2016-08-14
2016-08-20,Beyond the Valley of the Dolls,1970,https://boxd.it/aUKqB,3,,,2016-08-19
2016-08-23,Suicide Squad,2016,https://boxd.it/aXktl,2.5,,,2016-08-22
2016-08-23,Poltergeist,2015,https://boxd.it/aXyrN,1.5,,,2016-08-22
2016-08-23,The Matrix,1999,https://boxd.it/aXEtl,4.5,Yes,,2016-08-22
2016-08-25,Sharknado 4: The 4th Awakens,2016,https://boxd.it/aZ45V,1,,,2016-08-24
2016-08-25,Hell or High Water,2016,https://boxd.it/aZ5lF,3.5,,,2016-08-24
2016-08-25,Me and Earl and the Dying Girl,2015,https://boxd.it/aZ5OR,2,,,2016-08-24
2016-08-27,Don't Breathe,2016,https://boxd.it/b0MQt,3.5,,,2016-08-26
2016-08-29,Vampire's Kiss,1988,https://boxd.it/b2LBB,3.5,,,2016-08-29
2016-08-29,The Elephant Man,1980,https://boxd.it/b2Qbt,5,,,2016-08-29
2016-09-06,Disco Godfather,1979,https://boxd.it/b9Pat,2,,,2016-09-06
2016-09-11,The Death and Return of Superman,2011,https://boxd.it/bdtk5,3,,,2016-09-10
2016-09-11,Foodfight!,2012,https://boxd.it/bdF2H,0.5,,,2016-09-10
2016-09-12,The Empire Strikes Back,1980,https://boxd.it/beSX9,4.5,Yes,,2016-09-11
2016-09-18,2001: A Space Odyssey,1968,https://boxd.it/bjD9t,5,Yes,"70mm, stanley kubrick, cinerama",2016-09-17
2016-09-19,2001: A Space Odyssey,1968,https://boxd.it/bkbLB,5,Yes,stanley kubrick,2016-09-18
2016-09-19,Apocalypse Now,1979,https://boxd.it/bkxWr,5,,"70mm, cinerama",2016-09-18
2016-09-23,2001: A Space Odyssey,1968,https://boxd.it/bnt3X,5,Yes,,2016-09-22
2016-09-24,The Magnificent Seven,2016,https://boxd.it/bojCZ,2.5,,,2016-09-24
