Date,Name,Year,Letterboxd URI
2016-09-21,Battleship Potemkin,1925,https://boxd.it/29Vo
2016-09-23,Once Upon a Time in America,1984,https://boxd.it/2aCs
2016-10-02,Destiny,1921,https://boxd.it/1nRo
2016-10-10,The Last Laugh,1924,https://boxd.it/22es
2016-10-12,Three Colors: Red,1994,https://boxd.it/2b7q
2017-02-13,Mirror,1975,https://boxd.it/28Q8
2017-08-23,Persona,1966,https://boxd.it/29B4
2017-08-23,Fanny and Alexander,1982,https://boxd.it/22go
2017-08-23,El Topo,1970,https://boxd.it/1QYS
2017-09-02,The Grey Zone,2001,https://boxd.it/1ME0
2017-09-04,Angel Heart,1987,https://boxd.it/29WG
2017-09-24,Grand Illusion,1937,https://boxd.it/29Ei
2017-09-24,Triumph of the Will,1935,https://boxd.it/145A
2017-09-27,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2017-09-30,World on a Wire,1973,https://boxd.it/B9me
2017-09-30,Nashville,1975,https://boxd.it/25GE
2017-10-01,The Haunting,1963,https://boxd.it/1T7M
2017-10-04,Son of Frankenstein,1939,https://boxd.it/25Nq
2017-10-05,Five Broken Cameras,2011,https://boxd.it/2XF6
2017-10-17,Wild Strawberries,1957,https://boxd.it/29ZU
2017-10-19,Fitzcarraldo,1982,https://boxd.it/1YV8
2017-10-21,Munich,2005,https://boxd.it/2a0e
2017-10-23,The Legend of Hell House,1973,https://boxd.it/1KEs
2017-10-28,Cathy's Curse,1977,https://boxd.it/3C7O
2017-10-29,Battle of Soho,2017,https://boxd.it/fqC0
2017-11-06,Faust,1926,https://boxd.it/1Vxi
2017-11-06,The Testament of Dr. Mabuse,1933,https://boxd.it/1Sia
2017-11-13,The Quiet Earth,1985,https://boxd.it/1WTE
2017-11-13,The Holy Mountain,1973,https://boxd.it/20mu
2017-11-13,The Double Life of Véronique,1991,https://boxd.it/28va
2017-11-13,When the Wind Blows,1986,https://boxd.it/1VdC
2017-11-17,Upstream Color,2013,https://boxd.it/4Cwc
2017-11-20,Force Majeure,2014,https://boxd.it/7UcA
2017-12-26,Alias Grace,2017,https://boxd.it/f5ls
2018-01-05,Au Revoir les Enfants,1987,https://boxd.it/288U
2018-01-06,Wormwood,2017,https://boxd.it/AMTY
2018-01-07,The Hypothesis of the Stolen Painting,1978,https://boxd.it/372S
2018-01-10,Beau Travail,1999,https://boxd.it/1NI8
2018-01-10,White Material,2009,https://boxd.it/NIg
2018-01-10,Ratcatcher,1999,https://boxd.it/1mSg
2018-01-10,Daisies,1966,https://boxd.it/LZk
2018-01-13,The Forbidden Room,2015,https://boxd.it/abC0
2018-01-14,Wiener-Dog,2016,https://boxd.it/aD3M
2018-01-15,The Fog of War,2003,https://boxd.it/1Row
2018-01-15,The Conformist,1970,https://boxd.it/20cE
2018-01-15,Céline and Julie Go Boating,1974,https://boxd.it/1sGA
2018-01-16,Three Colors: Blue,1993,https://boxd.it/2b7K
2018-01-17,Malcolm X,1992,https://boxd.it/27WE
2018-01-17,Anguish,1987,https://boxd.it/XZ2
2018-01-24,Punishment Park,1971,https://boxd.it/1tJK
2018-01-24,Edvard Munch,1974,https://boxd.it/E3y
2018-01-25,The Earrings of Madame de...,1953,https://boxd.it/2lom
2018-02-12,Happiness,1998,https://boxd.it/1VEe
2018-02-17,Certified Copy,2010,https://boxd.it/IMW
2018-02-23,Tideland,2005,https://boxd.it/1Tyy
2018-03-05,Ms .45,1981,https://boxd.it/1AWG
2018-03-16,"Rome, Open City",1945,https://boxd.it/2aD6
2018-03-18,The Young and the Damned,1950,https://boxd.it/29AA
2018-03-19,Red Desert,1964,https://boxd.it/1ttW
2018-03-19,The Ear,1970,https://boxd.it/38Sg
2018-03-30,The Five Obstructions,2003,https://boxd.it/1RWy
2018-04-09,Shoah,1985,https://boxd.it/XSK
2018-04-15,Hard to Be a God,2013,https://boxd.it/3Ido
2018-04-15,Of Time and the City,2008,https://boxd.it/1mHi
2018-04-18,Asylum,1972,https://boxd.it/1uGM
2018-04-25,Where the Buffalo Roam,1980,https://boxd.it/1R2A
